movieId,userId,rec_rating,title,genres
649,2,4.510244,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
2309,2,4.4694114,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
3092,2,4.3426533,Chushingura (1962),Drama
2762,2,4.3138165,"Sixth Sense, The (1999)",Thriller
318,2,4.2384253,"Shawshank Redemption, The (1994)",Drama
953,2,4.1999273,It's a Wonderful Life (1946),Drama
527,2,4.194299,Schindler's List (1993),Drama|War
2197,2,4.1844406,Firelight (1997),Drama
3147,2,4.1826177,"Green Mile, The (1999)",Drama|Thriller
110,2,4.1697817,Braveheart (1995),Action|Drama|War
858,4,4.756515,"Godfather, The (1972)",Action|Crime|Drama
2309,4,4.7047772,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
3077,4,4.6298,42 Up (1998),Documentary
649,4,4.6264005,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
1387,4,4.5911345,Jaws (1975),Action|Horror
2830,4,4.591017,Cabaret Balkan (Bure Baruta) (1998),Drama
1221,4,4.5787196,"Godfather: Part II, The (1974)",Action|Crime|Drama
2848,4,4.535148,Othello (1952),Drama
1207,4,4.53226,To Kill a Mockingbird (1962),Drama
922,4,4.509935,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
3092,7,5.125951,Chushingura (1962),Drama
2309,7,5.0015163,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
649,7,4.8477364,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
260,7,4.814457,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1198,7,4.7945075,Raiders of the Lost Ark (1981),Action|Adventure
2175,7,4.7319946,D�j� Vu (1997),Drama|Romance
110,7,4.7033453,Braveheart (1995),Action|Drama|War
318,7,4.6873484,"Shawshank Redemption, The (1994)",Drama
980,7,4.6832285,In the Line of Duty 2 (1987),Action
2762,7,4.6680827,"Sixth Sense, The (1999)",Thriller
2309,8,5.5717998,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
649,8,5.4007773,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
318,8,5.215524,"Shawshank Redemption, The (1994)",Drama
50,8,5.0871716,"Usual Suspects, The (1995)",Crime|Thriller
2858,8,5.082763,American Beauty (1999),Comedy|Drama
2675,8,5.063875,Twice Upon a Yesterday (1998),Comedy|Drama|Romance
527,8,5.024422,Schindler's List (1993),Drama|War
1198,8,4.9805217,Raiders of the Lost Ark (1981),Action|Adventure
2905,8,4.974396,Sanjuro (1962),Action|Adventure
53,8,4.957122,Lamerica (1994),Drama
2309,10,5.2493587,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
3625,10,5.244057,Better Living Through Circuitry (1999),Documentary
666,10,5.115504,All Things Fair (1996),Drama
2197,10,5.0906024,Firelight (1997),Drama
439,10,4.9327965,Dangerous Game (1993),Drama
980,10,4.9181585,In the Line of Duty 2 (1987),Action
649,10,4.8990455,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
2905,10,4.896664,Sanjuro (1962),Action|Adventure
3314,10,4.867398,"Big Trees, The (1952)",Action|Drama
2579,10,4.85217,Following (1998),Drama
2309,11,4.976196,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
787,11,4.6513443,"Gate of Heavenly Peace, The (1995)",Documentary
53,11,4.6444407,Lamerica (1994),Drama
1901,11,4.4661007,Dear Jesse (1997),Documentary
659,11,4.435528,Purple Noon (1960),Crime|Thriller
649,11,4.419931,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
3038,11,4.4018793,"Face in the Crowd, A (1957)",Drama
668,11,4.3831663,Pather Panchali (1955),Drama
1213,11,4.3492136,GoodFellas (1990),Crime|Drama
97,11,4.342674,"Hate (Haine, La) (1995)",Drama
2309,14,4.9743834,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
659,14,4.778667,Purple Noon (1960),Crime|Thriller
1002,14,4.6144266,Ed's Next Move (1996),Comedy
787,14,4.59173,"Gate of Heavenly Peace, The (1995)",Documentary
2503,14,4.585497,"Apple, The (Sib) (1998)",Drama
668,14,4.5690274,Pather Panchali (1955),Drama
341,14,4.558001,Double Happiness (1994),Drama
1136,14,4.514256,Monty Python and the Holy Grail (1974),Comedy
1209,14,4.5040765,Once Upon a Time in the West (1969),Western
53,14,4.5033016,Lamerica (1994),Drama
2309,18,5.2987995,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
2493,18,4.9944696,"Harmonists, The (1997)",Drama
649,18,4.988178,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
3880,18,4.9387326,"Ballad of Ramblin' Jack, The (2000)",Documentary
260,18,4.9370146,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
527,18,4.9286847,Schindler's List (1993),Drama|War
50,18,4.9181037,"Usual Suspects, The (1995)",Crime|Thriller
1250,18,4.8912926,"Bridge on the River Kwai, The (1957)",Drama|War
318,18,4.8770943,"Shawshank Redemption, The (1994)",Drama
858,18,4.8584,"Godfather, The (1972)",Action|Crime|Drama
2008,21,4.839788,"This World, Then the Fireworks (1996)",Crime|Drama|Film-Noir
3052,21,4.5549917,Dogma (1999),Comedy
3913,21,4.490346,Barenaked in America (1999),Documentary
2675,21,4.4800577,Twice Upon a Yesterday (1998),Comedy|Drama|Romance
2842,21,4.36809,Best Laid Plans (1999),Crime|Drama
3775,21,4.3600183,Make Mine Music (1946),Animation|Children's|Musical
2571,21,4.339809,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1215,21,4.314375,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi
1313,21,4.297344,Mad Dog Time (1996),Crime
3940,21,4.24814,"Slumber Party Massacre III, The (1990)",Horror
2309,23,4.3174357,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
980,23,4.2445793,In the Line of Duty 2 (1987),Action
2937,23,4.165559,"Palm Beach Story, The (1942)",Comedy
1218,23,4.132023,"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller
3092,23,4.121499,Chushingura (1962),Drama
1198,23,4.1057816,Raiders of the Lost Ark (1981),Action|Adventure
3314,23,4.0911365,"Big Trees, The (1952)",Action|Drama
659,23,4.077157,Purple Noon (1960),Crime|Thriller
2571,23,4.0682535,"Matrix, The (1999)",Action|Sci-Fi|Thriller
649,23,4.0627193,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
2309,24,5.0413904,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
53,24,4.8355327,Lamerica (1994),Drama
858,24,4.7487364,"Godfather, The (1972)",Action|Crime|Drama
