movieId,userId,rec_rating,title,genres
3077,1,5.1143613,42 Up (1998),Documentary
2309,1,5.0828056,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
666,1,5.0227094,All Things Fair (1996),Drama
53,1,4.9535437,Lamerica (1994),Drama
3222,1,4.91434,Carmen (1984),Drama
3517,1,4.8657193,"Bells, The (1926)",Crime|Drama
2197,1,4.7997847,Firelight (1997),Drama
649,1,4.7284846,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
2823,1,4.7196836,"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",Action|Drama
213,1,4.7087727,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
864,3,4.5825715,"Wife, The (1995)",Comedy|Drama
649,3,4.5305023,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
2324,3,4.49471,Life Is Beautiful (La Vita � bella) (1997),Comedy|Drama
3147,3,4.4620523,"Green Mile, The (1999)",Drama|Thriller
318,3,4.4602456,"Shawshank Redemption, The (1994)",Drama
2309,3,4.419184,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
590,3,4.3805323,Dances with Wolves (1990),Adventure|Drama|Western
863,3,4.3765473,Celestial Clockwork (1994),Comedy
527,3,4.3649597,Schindler's List (1993),Drama|War
3753,3,4.3614326,"Patriot, The (2000)",Action|Drama|War
850,5,4.9128084,Cyclo (1995),Crime|Drama
2981,5,4.6971607,"Brother, Can You Spare a Dime? (1975)",Documentary
2931,5,4.5926914,Time of the Gypsies (Dom za vesanje) (1989),Drama
3429,5,4.3997965,Creature Comforts (1990),Animation|Comedy
2823,5,4.3951955,"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",Action|Drama
759,5,4.3888755,Maya Lin: A Strong Clear Vision (1994),Documentary
2309,5,4.3715267,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
3569,5,4.3347683,"Idiots, The (Idioterne) (1998)",Comedy|Drama
3150,5,4.331361,"War Zone, The (1999)",Drama
670,5,4.2888107,"World of Apu, The (Apur Sansar) (1959)",Drama
3077,6,5.0077477,42 Up (1998),Documentary
1164,6,4.833446,Two or Three Things I Know About Her (1966),Drama
666,6,4.8314776,All Things Fair (1996),Drama
3222,6,4.8190155,Carmen (1984),Drama
2197,6,4.761484,Firelight (1997),Drama
3447,6,4.734489,"Good Earth, The (1937)",Drama
958,6,4.599824,Lady of Burlesque (1943),Comedy|Mystery
1085,6,4.597145,"Old Man and the Sea, The (1958)",Adventure|Drama
53,6,4.5812883,Lamerica (1994),Drama
1035,6,4.572862,"Sound of Music, The (1965)",Musical
2309,9,4.774755,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
649,9,4.4818864,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
50,9,4.3174973,"Usual Suspects, The (1995)",Crime|Thriller
